"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","30083","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-25 10:24:46",170,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:46.2",171,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:46.4",172,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:46.6",173,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:46.8",174,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:47",175,0.1518719,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:47.2",176,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:47.4",177,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:47.6",178,-0.4562572,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:47.8",179,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:48",180,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:48.2",181,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:48.4",182,-0.4562572,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:48.6",183,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:48.8",184,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:49",185,0.4559349,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:49.2",186,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:49.4",187,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:49.6",188,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:49.8",189,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:50",190,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:50.2",191,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:50.4",192,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:50.6",193,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:50.8",194,0.4559349,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:51",195,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:51.2",196,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:51.4",197,-0.1521932,1,0.011,21.48,11.99,39.39
"2023-05-25 10:24:51.6",198,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:51.8",199,0.1518719,1,0.012,21.48,11.99,39.35
"2023-05-25 10:24:52",200,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:52.2",201,0.1518719,1,0.01,21.48,11.99,39.39
"2023-05-25 10:24:52.4",202,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:52.6",203,-0.4562572,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:52.8",204,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:53",205,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:53.2",206,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:53.4",207,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:53.6",208,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:53.8",209,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:54",210,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:54.2",211,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:54.4",212,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:54.6",213,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:54.8",214,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:55",215,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:55.2",216,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:55.4",217,-0.4562572,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:55.6",218,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:55.8",219,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:56",220,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:56.2",221,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:56.4",222,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:56.6",223,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:56.8",224,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:57",225,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:57.2",226,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:57.4",227,0.4559349,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:57.6",228,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:57.8",229,-0.4562572,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:58",230,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:58.2",231,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:58.4",232,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:58.6",233,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:58.8",234,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:59",235,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:59.2",236,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:24:59.4",237,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:24:59.6",238,-0.1521932,1,0.011,21.48,11.99,39.32
"2023-05-25 10:24:59.8",239,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:00",240,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:00.2",241,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:25:00.4",242,-0.4562572,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:00.6",243,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:00.8",244,-0.1521932,1,0.011,21.48,11.99,39.35
"2023-05-25 10:25:01",245,-0.4562572,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:01.2",246,-0.1521932,1,0.011,21.48,11.99,39.32
"2023-05-25 10:25:01.4",247,0.1518719,1,0.011,21.48,11.99,39.35
"2023-05-25 10:25:01.6",248,0.1518719,1,0.01,21.48,11.99,39.35
"2023-05-25 10:25:01.8",249,-0.1521932,1,0.011,21.48,11.99,39.35
