17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.220,-0.038,-0.153
-0.193,-0.032,0.627
0.096,0.016,0.941
0.394,0.061,1.103
0.644,0.095,1.362
0.895,0.127,0.294
0.685,0.083,0.143
0.493,0.049,-0.302
0.215,0.008,0.158
0.194,0.011,0.211
0.201,0.016,0.128
0.175,0.011,-0.652
-0.113,-0.037,-0.910
-0.392,-0.079,-1.096
-0.638,-0.112,-1.323
-0.874,-0.141,-0.184
-0.630,-0.093,-0.012
-0.409,-0.055,0.370
-0.133,-0.015,-0.082
-0.111,-0.018,-0.120
-0.112,-0.022,-0.083
-0.098,-0.019,0.615
0.153,0.022,0.837
0.394,0.059,0.938
0.587,0.084,1.174
0.791,0.110,0.068
0.538,0.060,-0.061
0.326,0.024,-0.443
0.057,-0.014,0.055
0.056,-0.008,0.157
0.092,0.002,0.109
0.098,0.001,-0.622
-0.153,-0.041,-0.901
-0.414,-0.081,-1.116
-0.659,-0.114,-1.369
-0.903,-0.146,-0.304
-0.692,-0.103,-0.193
-0.512,-0.071,0.213
-0.255,-0.034,-0.229
-0.242,-0.038,-0.271
-0.249,-0.042,-0.186
-0.224,-0.036,0.637
0.079,0.013,0.938
0.383,0.060,1.099
0.636,0.093,1.346
0.883,0.126,0.270
0.670,0.081,0.132
0.479,0.048,-0.295
0.208,0.008,0.189
0.201,0.013,0.217
0.207,0.017,0.109
0.172,0.010,-0.685
-0.127,-0.039,-0.957
-0.417,-0.083,-1.148
-0.672,-0.117,-1.376
-0.915,-0.148,-0.289
-0.693,-0.102,-0.137
-0.493,-0.068,0.240
-0.233,-0.031,-0.201
-0.218,-0.034,-0.206
-0.212,-0.037,-0.136
-0.182,-0.030,0.629
0.105,0.016,0.907
0.388,0.060,1.094
0.637,0.093,1.344
0.883,0.126,0.290
0.676,0.082,0.131
0.483,0.048,-0.284
0.215,0.009,0.197
0.208,0.013,0.253
0.224,0.020,0.183
0.209,0.016,-0.610
-0.076,-0.031,-0.911
-0.368,-0.076,-1.131
-0.634,-0.112,-1.371
-0.888,-0.144,-0.296
-0.679,-0.101,-0.170
-0.496,-0.069,0.229
-0.239,-0.031,-0.215
-0.226,-0.035,-0.226
-0.223,-0.038,-0.150
-0.194,-0.032,0.659
0.106,0.017,0.943
