28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.050,-0.022,0.338
0.087,0.001,0.794
0.335,0.034,0.749
0.463,0.049,-0.383
0.156,-0.023,-1.731
-0.512,-0.072,-1.709
-0.928,-0.110,-1.400
-1.085,-0.122,-0.115
-0.735,-0.071,0.584
-0.267,-0.034,0.396
-0.035,0.013,-0.219
-0.098,0.010,-0.492
-0.237,-0.026,-0.943
-0.481,-0.044,0.557
-0.110,-0.001,1.115
0.321,0.053,1.692
0.796,0.074,1.019
0.865,0.101,-0.015
0.549,0.061,-0.318
0.237,0.006,-0.792
-0.126,-0.027,0.418
0.062,-0.028,0.410
0.188,0.027,1.046
0.487,0.057,-0.182
0.245,0.016,-1.068
-0.221,-0.039,-1.508
-0.673,-0.121,-1.581
-0.989,-0.104,0.288
-0.533,-0.039,0.523
-0.147,0.004,0.897
0.220,0.041,-0.074
0.109,-0.010,-0.961
-0.266,-0.025,-0.840
-0.461,-0.029,0.620
-0.074,0.004,1.030
0.316,0.055,1.577
0.757,0.093,1.190
0.899,0.100,-0.185
0.506,0.015,-1.025
-0.041,-0.025,-0.916
-0.347,-0.042,0.396
-0.082,-0.019,0.722
0.200,0.024,1.045
0.490,0.017,-0.641
0.081,0.002,-0.994
-0.300,-0.039,-1.473
-0.709,-0.092,-1.493
-0.976,-0.106,0.034
-0.613,-0.061,0.384
-0.255,-0.008,0.759
0.101,0.023,-0.403
-0.082,0.006,-0.610
-0.271,-0.054,-1.420
-0.670,-0.063,0.529
-0.239,-0.005,1.348
0.322,0.054,1.528
0.729,0.102,1.650
1.045,0.133,0.265
0.763,0.076,-0.424
0.337,0.020,-0.598
0.006,-0.016,0.304
0.111,0.002,0.857
0.369,0.014,0.596
0.441,0.045,-0.307
0.174,0.017,-0.894
-0.206,-0.041,-1.573
-0.686,-0.089,-1.400
-0.934,-0.100,-0.022
-0.597,-0.060,0.556
-0.185,0.002,0.942
0.211,0.036,-0.389
0.013,0.017,-0.714
-0.246,-0.053,-1.464
-0.671,-0.063,0.395
-0.287,-0.008,1.099
0.205,0.039,1.552
0.676,0.092,1.573
0.982,0.074,-0.245
0.536,0.057,-0.359
0.216,0.016,-0.614
-0.076,-0.022,0.342
0.073,-0.001,0.993
0.391,0.016,0.670
0.483,0.049,-0.336
0.190,0.017,-0.984
-0.228,-0.044,-1.667
-0.733,-0.092,-1.362
-0.946,-0.108,-0.308
-0.703,-0.064,0.469
-0.283,0.002,0.884
0.131,0.029,-0.301
-0.023,0.007,-0.667
-0.254,-0.058,-1.239
-0.596,-0.056,0.507
-0.200,0.003,1.343
0.346,0.057,1.626
0.794,0.106,1.522
1.040,0.117,-0.047
0.648,0.062,-0.471
0.246,0.003,-0.833
-0.134,-0.031,0.374
0.041,-0.035,0.271
0.126,0.012,1.065
0.452,0.049,-0.171
0.226,0.010,-0.993
-0.207,-0.040,-1.385
-0.625,-0.109,-1.860
-1.052,-0.114,0.007
-0.668,-0.055,0.574
-0.226,-0.005,0.671
0.090,0.027,-0.148
0.004,0.005,-0.997
-0.355,-0.035,-1.048
-0.593,-0.052,0.324
-0.262,-0.018,1.008
0.189,0.040,1.655
0.701,0.060,1.185
0.857,0.102,0.060
0.570,0.068,-0.268
0.270,0.009,-0.768
-0.097,-0.023,0.416
0.082,-0.002,0.819
0.340,0.036,1.083
0.591,0.028,-0.611
0.159,0.006,-0.991
-0.248,-0.034,-1.323
-0.626,-0.084,-1.454
-0.909,-0.102,0.066
-0.563,-0.083,0.140
-0.310,-0.013,0.895
0.116,0.038,0.001
0.074,0.016,-0.728
-0.210,-0.021,-0.843
-0.428,-0.043,0.353
-0.148,-0.005,1.253
0.347,0.022,1.387
0.706,0.095,1.617
1.014,0.121,-0.023
0.648,0.060,-0.434
0.260,0.007,-0.735
-0.095,-0.057,0.029
-0.050,-0.012,0.851
0.264,0.036,1.008
0.524,0.049,-0.307
0.225,0.017,-0.929
-0.185,-0.041,-1.514
-0.651,-0.083,-1.205
-0.838,-0.096,0.078
-0.508,-0.050,0.569
-0.128,-0.022,0.275
0.012,0.016,-0.259
-0.082,0.006,-0.520
-0.236,-0.027,-1.100
-0.535,-0.053,0.360
-0.218,-0.043,0.694
0.105,0.030,1.537
0.605,0.055,1.156
0.795,0.086,-0.036
0.496,0.051,-0.202
0.242,0.005,-0.793
-0.123,-0.029,0.401
